occupation_socp,occupation_socp_category_code,occupation_socp_description,occupation_socp_label
173023,ENG,Electrical and Electronic Engineering Technologists And Technicians,ENG-Electrical and Electronic Engineering Technologists And Technicians
17302X,ENG,"Other Engineering Technologists And Technicians, Except Drafters","ENG-Other Engineering Technologists And Technicians, Except Drafters"
173031,ENG,Surveying And Mapping Technicians,ENG-Surveying And Mapping Technicians
191010,SCI,Agricultural And Food Scientists,SCI-Agricultural And Food Scientists
191020,SCI,Biological Scientists,SCI-Biological Scientists
191030,SCI,Conservation Scientists And Foresters,SCI-Conservation Scientists And Foresters
1910XX,SCI,Other Life Scientists,SCI-Other Life Scientists
192010,SCI,Astronomers And Physicists,SCI-Astronomers And Physicists
192021,SCI,Atmospheric And Space Scientists,SCI-Atmospheric And Space Scientists
192030,SCI,Chemists And Materials Scientists,SCI-Chemists And Materials Scientists
192041,SCI,"Environmental Scientists And Specialists, Including Health","SCI-Environmental Scientists And Specialists, Including Health"
19204X,SCI,"Geoscientists And Hydrologists, Except Geographers","SCI-Geoscientists And Hydrologists, Except Geographers"
192099,SCI,"Physical Scientists, All Other","SCI-Physical Scientists, All Other"
193011,SCI,Economists,SCI-Economists
193033,SCI,Clinical And Counseling Psychologists,SCI-Clinical And Counseling Psychologists
193034,SCI,School Psychologists,SCI-School Psychologists
19303X,SCI,Other Psychologists,SCI-Other Psychologists
193051,SCI,Urban And Regional Planners,SCI-Urban And Regional Planners
1930XX,SCI,Other Social Scientists,SCI-Other Social Scientists
194010,SCI,Agricultural And Food Science Technicians,SCI-Agricultural And Food Science Technicians
194021,SCI,Biological Technicians,SCI-Biological Technicians
194031,SCI,Chemical Technicians,SCI-Chemical Technicians
1940XX,SCI,"Environmental Science And Geoscience Technicians, And Nuclear Technicians","SCI-Environmental Science And Geoscience Technicians, And Nuclear Technicians"
1940YY,SCI,"Other Life, Physical, And Social Science Technicians","SCI-Other Life, Physical, And Social Science Technicians"
195010,SCI,Occupational Health And Safety Specialists And Technicians,SCI-Occupational Health And Safety Specialists And Technicians
211011,CMS,Substance Abuse And Behavioral Disorder Counselors,CMS-Substance Abuse And Behavioral Disorder Counselors
211012,CMS,"Educational, Guidance, And Career Counselors And Advisors","CMS-Educational, Guidance, And Career Counselors And Advisors"
